<f> = 0.0918105031215571
1 94
2 88
3 80
4 62
5 60
6 46
7 72
8 50
9 42
10 31
11 30
12 35
13 30
14 26
15 24
16 23
17 22
18 13
19 11
20 15
21 9
22 11
23 13
24 9
25 11
26 8
27 9
28 8
29 4
30 8
31 2
32 6
33 4
34 6
35 3
36 3
37 3
38 6
40 2
42 1
43 1
44 1
45 2
46 1
50 3
52 2
53 2
55 2
57 2
58 1
59 1
84 1
93 1
